name,tempo
Mother of Earth - Remastered 2020-The Gun Club.mp4,181
"Le tombeau de Couperin, M. 68: I. Prélude-Maurice Ravel.mp4",84
Hands On Me-Giolì & Assia.mp4,122
Sweden-C418.mp4,88
Vain yksi sinä (feat. Titta)-Spekti.mp4,145
"When You Grow Up, Your Heart Dies-Gunship.mp4",125
Gosh-Jamie xx.mp4,139
Unscharf - Live-Farin Urlaub Racing Team.mp4,200
Seventh Wave-Devin Townsend.mp4,128
Nine Million Bicycles-Katie Melua.mp4,82
(Don't Fear) The Reaper-Blue Öyster Cult.mp4,144
Back In Black-ACDC.mp4,95
Greta-Pedro Guerra.mp4,108
"Der Rosenkavalier Suite, Op. 59, TrV 227-Richard Strauss.mp4",94
Only For A Moment-Lola Marsh.mp4,140
Quedándote o Yéndote-Luis Alberto Spinetta.mp4,81
Monotonija-Solo Ansamblis.mp4,144
Carry On-fun..mp4,156
Umarme das Leben-SEOM.mp4,102
Popular Monster-Falling In Reverse.mp4,165
Africa-TOTO.mp4,93
Me dê Amor (Feat. Gaiola das Popozudas)-Sango.mp4,130
No-One Is There-Sopor Aeternus & The Ensemble Of Shadows.mp4,77
She-Green Day.mp4,186
Another Manʼs Grave-Amigo the Devil.mp4,96
Hit the Road Jack-Ray Charles.mp4,172
Come Alive-Hillsong Worship.mp4,102
Pergolesi: Stabat Mater: I. Stabat Mater dolorosa-Giovanni Battista Pergolesi.mp4,94
"Schwanengesang, D.957: No. 4 Serenade-Franz Schubert.mp4",71
Stereophobia - Original Mix-Dark Oscillators.mp4,148
How to Disappear Completely-Radiohead.mp4,101
Bullitt - Bonus Track-Elephanz.mp4,79
Ten Esi Tu-Sisters On Wire.mp4,115
Breathe In-Daddy Was a Milkman.mp4,108
I Can't Stop - Radio Edit-De-Javu.mp4,128
Cadáver exquisito-Fito Paez.mp4,89
Mona Ki Ngi Xica-Bonga.mp4,96
Dunkelheit-Burzum.mp4,109
Daddy's Girl-Katey Sagal.mp4,76
Muzika Kuri Saugo (G&G Sindikatas cover)-Evgenya Redko.mp4,130
I Need a Teacher-Hiss Golden Messenger.mp4,86
The House That Built Me-Miranda Lambert.mp4,81
Landslide-Fleetwood Mac.mp4,80
Melody of You-Sixpence None The Richer.mp4,99
Alakazam ! x Fire (WWW)-Justice.mp4,121
Re-mor ve ötesi.mp4,144
Summertime Sadness (remix) - Tribute to Lana Del Rey and Cedric Gervais-Summertime Sadness.mp4,126
Ave María-Andrea Bocelli.mp4,94
STAY-BLACKPINK.mp4,88
I Might Be Wrong-Radiohead.mp4,103
The Red Knot-Ahn Ye Eun.mp4,87
I Will Follow You into the Dark-Death Cab for Cutie.mp4,157
A Thousand Kisses Deep-Leonard Cohen.mp4,77
Lady Grinning Soul - 2013 Remaster-David Bowie.mp4,95
Under the Bridge-Red Hot Chili Peppers.mp4,87
Elevator-Holy Holy.mp4,137
Prey-Parkway Drive.mp4,133
Rüyalarda Buruşmuşum-Adamlar.mp4,115
Into the Dark-Khai.mp4,110
Nocturnos Op. 32 In F Minor: I. Andante-Frédéric Chopin.mp4,65
Bésame-Ricardo Montaner.mp4,81
Stand by Me-Ben E. King.mp4,118
Eid Ma Clack Shaw-Bill Callahan.mp4,118
Grow Up and Blow Away-Metric.mp4,110
Endlessness-Nightwish.mp4,90
Snow (Hey Oh)-Red Hot Chili Peppers.mp4,108
Mitäpä jos-Samuli Putro.mp4,124
Don't Stop 'Til You Get Enough-Michael Jackson.mp4,119
Straight to Hell - Remastered-The Clash.mp4,91
Firewall-Kompany.mp4,150
Dan VS Egg-Toehider.mp4,60
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude-Johann Sebastian Bach.mp4",145
Fix You-Coldplay.mp4,140
Tell Me (feat. Chacel)-Macon.mp4,122
Love's a Stranger-Warhaus.mp4,81
De Vez en Cuando la Vida - En Directo-Joan Manuel Serrat.mp4,84
High Hopes-Pink Floyd.mp4,75
SUN GOES DOWN-Lil Nas X.mp4,87
Feel Good Inc.-Gorillaz.mp4,139
Boléro-Maurice Ravel.mp4,132
Simsiyah-Mustafa Ceceli.mp4,88
Violence - Original Mix-Grimes.mp4,100
Brave-Sara Bareilles.mp4,185
Atendeu-MÚSICA DO JOSÉ.mp4,139
Oscar Wilde-The Cat Empire.mp4,109
Soldadito de Hierro-Nil Moliner.mp4,82
The Trick Is To Keep Breathing-Garbage.mp4,105
Riders on the Storm-The Doors.mp4,104
"Piano Sonata in A Major, No. 11, K331 ""Turkish March"": III. Rondò: Alla Turca-J.S. Bach Orchestra & Walter Rinaldi.mp4",115
Shelter-Porter Robinson.mp4,100
Sunrise (Always Comes Around)-UNKLE.mp4,128
Nightmare-Avenged Sevenfold.mp4,130
Ghost of Perdition-Opeth.mp4,188
I Appear Missing-Queens of the Stone Age.mp4,116
Finer Things-Polo G.mp4,89
Keşke-Yalın.mp4,112
Mad About You-Hooverphonic.mp4,85
Moteris-Solo Ansamblis.mp4,135
Tabula Rasa: I. Ludus-Arvo Pärt.mp4,112
The Wolves Are Back in Town-Soilwork.mp4,142
Billie Jean-Michael Jackson.mp4,117
You're Somebody Else-flora cash.mp4,103
Keeping Me Alive - Acoustic-Jonathan Roy.mp4,123
Genesis 30:3-The Mountain Goats.mp4,90
First Day of My Life-Bright Eyes.mp4,94
Keep A Secret-The Whitest Boy Alive.mp4,122
You & Me-Tommy Ice.mp4,88
Abandon All Hope-Dying Fetus.mp4,112
Evaporated-Ben Folds Five.mp4,84
Save Me-Aimee Mann.mp4,72
Kai sirpsta vyšnios Suvalkijoj-Vytautas Kernagis.mp4,184
Change (In the House of Flies)-Deftones.mp4,141
无忧无虑-无忧俱乐部.mp4,124
Samba de Verão-Marcos Valle.mp4,136
Shofukan-Snarky Puppy.mp4,84
Heroes - 2017 Remaster-David Bowie.mp4,112
Lesser Known Good-Nym.mp4,93
Durma Yağmur Durma-Gripin.mp4,142
World On Fire-Slash.mp4,174
Inní mér syngur vitleysingur-Sigur Rós.mp4,106
Breathe (2 AM)-Anna Nalick.mp4,170
Purple Rain-Prince.mp4,112
Achilles Come Down-Gang of Youths.mp4,90
On Our Knees (feat. R.O)-Konoba.mp4,87
Take Me Into Your Skin-trentemøller.mp4,118
Et voi tulla rajan taa-Matti ja Teppo.mp4,111
The Red Baron-Sabaton.mp4,188
Killing In The Name-Rage Against The Machine.mp4,89
I Remember-Damien Rice.mp4,107
More...-Indochine.mp4,115
Côte Ouest-47ter.mp4,76
The Ones Who've Hurt You-Aurelio Voltaire.mp4,95
Stop a Bullet-Black Light Burns.mp4,133
Kamber - Akustik-Ados.mp4,82
"Tchaikovsky: Symphony No. 4 in F Minor, Op. 36: II. Andantino in moto di canzone-Pyotr Ilyich Tchaikovsky.mp4",101
I Ain't No Nice Guy-Motörhead.mp4,76
I’m Yours-Jason Mraz.mp4,75
Dawn Chorus-Thom Yorke.mp4,135
Love on the Line (Call Now)-Her's.mp4,137
Iron Sky-Paolo Nutini.mp4,70
Talia-King Princess.mp4,90
Alevosía-Luis Eduardo Aute.mp4,136
Leave Out All The Rest-Linkin Park.mp4,80
Haunted-Beyoncé.mp4,125
III-Fucking Werewolf Asso.mp4,140
Breathe - Legends of Runeterra Version-Fleurie.mp4,140
Jesus of Suburbia-Green Day.mp4,177
The Catalyst-Linkin Park.mp4,135
Take My Hand While I Take My Life-Psyclon Nine.mp4,138
Darkness Within-Machine Head.mp4,164
Porz Goret-Yann Tiersen.mp4,77
The Great Gig in the Sky-Pink Floyd.mp4,60
Bora Vocal-Rone.mp4,125
Walking in My Shoes - 2006 Remaster-Depeche Mode.mp4,93
Paranoid - Live 1981-Ozzy Osbourne.mp4,172
Walk Like an Egyptian-The Bangles.mp4,103
Praise The Lord (Da Shine) (feat. Skepta)-A$AP Rocky.mp4,80
Hedwig's Theme-John Williams.mp4,157
Promise You'll Haunt Me-Auscultation.mp4,110
La Vida Empieza Hoy-Sergio Dalma.mp4,125
Hammer Smashed Face-Cannibal Corpse.mp4,121
Way down We Go-KALEO.mp4,82
Tyttö ja tanssiva karhu-Anneli Saaristo.mp4,123
Оборотень-Мельница.mp4,115
My Shadow-The Haunted.mp4,109
The Love That Lasts The Longest (Part 1) - Original Mix-Sound Apparel.mp4,140
Time Twogether-Franz Gordon.mp4,68
Something That You Said - Jeremy Wheatley Mix-The Bangles.mp4,107
Eugène Pottier - L'Internationale-Daniel Mesguich.mp4,91
Lost Innocent World-Gogol Bordello.mp4,155
Hasta la Raíz-Natalia Lafourcade.mp4,153
Mazi Kalbimde Bir Yaradır-Incesaz.mp4,112
Un Momento-Raúl Berón.mp4,191
Aurora-Schiller.mp4,100
Das Urteil-Kool Savas.mp4,89
Nocturne-Vesa-Matti Loiri.mp4,82
Map of the Problematique-Muse.mp4,125
The Promise-Tracy Chapman.mp4,71
La Isla Bonita-Madonna.mp4,100
Another Lover-Little Dragon.mp4,81
Çember-Yeni Türkü.mp4,157
Disorder - 2007 Remaster-Joy Division.mp4,172
大鱼 - Live-Zhou Shen.mp4,70
I Will Always Love You-Dolly Parton.mp4,68
Unstoppable-Sia.mp4,87
"String Quintet in C Major, D. 956  Op. Posth. 163 ""Cello Quintet"": II. Adagio-Franz Schubert.mp4",60
Will You Be There-Michael Jackson.mp4,83
Lady - Hear Me Tonight-Modjo.mp4,126
Pasos de cero-Pablo Alborán.mp4,100
Careless Whisper-George Michael.mp4,77
Yellow-Coldplay.mp4,87
El Pastor-Delta Sleep.mp4,99
Silence and I-The Alan Parsons Project.mp4,144
Dancer in the Dark-Marc Philippe.mp4,119
Yalnızlığım-Zuhal Olcay.mp4,130
Night Changes-One Direction.mp4,120
Heal the World-Michael Jackson.mp4,81
On Fire-THE ROOP.mp4,122
Higher-Lily Allen.mp4,100
HOUSTONFORNICATION-Travis Scott.mp4,80
Aavikko-Lauri Tähkä.mp4,127
Can You Imagine-Dope Stars Inc..mp4,112
Feel-A Life Divided.mp4,99
I'm Alive-Céline Dion.mp4,102
Waves-The Dear Hunter.mp4,150
Obertura Solemne 1812-Pyotr Ilyich Tchaikovsky.mp4,133
The Hours-Philip Glass.mp4,104
Duality-Slipknot.mp4,146
"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei-Robert Schumann.mp4",63
Godspeed-Frank Ocean.mp4,108
Live Room-Tim Hecker.mp4,157
Church-Coldplay.mp4,124
Lost-Red.mp4,162
Ol' 55-Tom Waits.mp4,75
BUTTERFLY EFFECT-Travis Scott.mp4,71
Atsiprashow-ba..mp4,155
Cripples Can't Shiver-Pianos Become The Teeth.mp4,160
Deli Eylül-Hüsnü Arkan.mp4,100
On My Mind (Jorja Smith X Preditah)-Jorja Smith.mp4,130
SEGA SUNSET-Lorn.mp4,127
Don't Look Back In Anger - Remastered-Oasis.mp4,82
Uprising-Muse.mp4,128
Axe Victim - 2020 Remaster-Be Bop Deluxe.mp4,77
Dangerously In Love-Beyoncé.mp4,100
Let's Be Happy (arr. G. Frost)-Traditional.mp4,173
Hurricane-Bob Dylan.mp4,134
Yellow Ledbetter-Pearl Jam.mp4,71
Black Betty-Ram Jam.mp4,124
Story o' My Lf-Shaka Ponk.mp4,110
Lacrimosa-Zbigniew Preisner.mp4,108
Isla Mayor. Alegrías-Sonia Miranda.mp4,156
War Pigs  Luke's Wall - 2012 - Remaster-Black Sabbath.mp4,181
Cover Me-Bruce Springsteen.mp4,120
Children of the Dark-Mono Inc..mp4,158
Descending-TOOL.mp4,88
Dragonborn part 3 (Oceans Apart)-Headhunterz.mp4,150
Nella Fantasia-Jackie Evancho.mp4,62
Rotten Apple-Alice In Chains.mp4,74
Sway-Michael Bublé.mp4,126
Bir Ay Doğar-Cengiz Özkan.mp4,138
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse-Antonín Dvořák.mp4",163
Ladybird-The Rigs.mp4,80
Holding Hands-The Magic Lantern.mp4,67
Wind flower-MAMAMOO.mp4,114
Look Me in the Heart-Tina Turner.mp4,106
Sorry-Madonna.mp4,133
Strangelove - 2006 Remaster-Depeche Mode.mp4,119
"Ballade No. 1 in G Minor, Op. 23-Frédéric Chopin.mp4",118
Forever Young-Alphaville.mp4,68
Pillars of Sand-Vektor.mp4,184
Rivers of Babylon-Boney M..mp4,116
Fırıldak Adam-Aşık Mahzuni Şerif.mp4,97
Ódýr-Hatari.mp4,120
Shine a Light-Wolf Parade.mp4,132
You Got Me Singing-Leonard Cohen.mp4,132
Маленький-Дайте танк (!).mp4,96
A Rush of Blood to the Head-Coldplay.mp4,138
Viva La Vida-Coldplay.mp4,138
Unsainted-Slipknot.mp4,102
Yesterday Don't Mean Shit-Pantera.mp4,145
Watermelon Sugar-Harry Styles.mp4,96
15 Step-Radiohead.mp4,189
Barber: Adagio for Strings-Samuel Barber.mp4,87
Вперед-назад-НедРа.mp4,135
Her-Sadness.mp4,130
A bas la hiérarchie-Stupeflip.mp4,94
Buried Alive-Avenged Sevenfold.mp4,140
In the End-Linkin Park.mp4,105
Can't Find My Way Home - Live-Kofi Baker's Cream Experience.mp4,90
Cosmic Fairytale: Dimensions-Estas Tonne.mp4,127
Nikes-Frank Ocean.mp4,104
Doldur Meyhaneci-Adnan Senses.mp4,83
Tiek Nedaug Tereikėjo-Kostas Smoriginas.mp4,123
Stranger in Moscow-Michael Jackson.mp4,65
Black Dog - Remaster-Led Zeppelin.mp4,165
Apie Tave-Egle Jakstyte.mp4,193
Lapsuuden sankarille-Miljoonasade.mp4,124
Adventures In Solitude-The New Pornographers.mp4,116
Sailing-Rod Stewart.mp4,64
Expansão da Consciência-Pense.mp4,113
Ain’t No Sunshine - Lido Remix-Bill Withers.mp4,150
I Just Want You-Ozzy Osbourne.mp4,172
Main Theme from FINAL FANTASY-Yoko Shimomura.mp4,97
The Letters-Leonard Cohen.mp4,72
Meu Fado Meu-Mariza.mp4,77
Deep End-Fousheé.mp4,125
Nine Lives-Mahom.mp4,123
Take On Me-Reel Big Fish.mp4,98
Closing Time-Leonard Cohen.mp4,191
Alabaster-All Them Witches.mp4,117
Infinity-Jaymes Young.mp4,122
IknowhowIfeel-Parcels.mp4,115
Il est libre Max-Hervé Cristiani.mp4,135
Freedom-Rage Against The Machine.mp4,120
Tudo Vai Dar Certo-Natiruts.mp4,72
Insomnia - Radio Edit-Faithless.mp4,127
Adagio-Lara Fabian.mp4,65
Shoemaker-Nightwish.mp4,91
Impossible-James Arthur.mp4,85
Unravel-Toru Kitajima.mp4,120
Love Will Tear Us Apart - 2020 Remaster-Joy Division.mp4,147
Sun särkyä anna mä en-Johanna Kurkela.mp4,157
When We Die-SayWeCanFly.mp4,80
Sen Benimsin Ben Senin-Neşet Ertaş.mp4,83
"Non, je ne regrette rien-Édith Piaf.mp4",87
Traveler-David Maslanka.mp4,84
Три пути-Lumen.mp4,84
Wolf in Sheep's Clothing (feat. William Beckett)-Set It Off.mp4,165
Autumn Leaves-Eva Cassidy.mp4,73
40 Days-Slowdive.mp4,186
Tove-Lasten Hautausmaa.mp4,179
"Kohntarkosz, Pt. 2-Magma.mp4",100
Ease My Mind (feat. Niki and the Dove)-Skrillex.mp4,150
Lassie Come Home-Alphaville.mp4,148
Boys Will Be Bugs-Cavetown.mp4,89
So Far Away-Avenged Sevenfold.mp4,152
Duska-Saban Bajramovic.mp4,125
Esta soy yo-El Sueño de Morfeo.mp4,112
Säännöt rakkaudelle-Anna Puu.mp4,128
In the Meantime-Spacehog.mp4,169
True Faith-New Order.mp4,117
El Escape-Las Armas.mp4,172
Rylynn-Andy McKee.mp4,88
Pra não dizer que não falei das flores-Geraldo Vandre.mp4,114
Todos Los Besos-Los Rebujitos.mp4,125
Islak Islak-Cem Karaca.mp4,110
Matkalla vapaita-Alan Happi.mp4,145
Laiko Masina (Live)-Linas Adomaitis.mp4,132
If We Were Vampires-Jason Isbell and the 400 Unit.mp4,97
Roundabout - 2003 Remaster-Yes.mp4,133
"Andrea Chénier, Act III: ""La mamma morta m'hanno alla porta""-Maria Callas.mp4",84
The Departure-Max Richter.mp4,58
Close To The Sun-TheFatRat.mp4,179
Der Winter - Die Vier Jahreszeiten (Winter - The Four Seasons)-Antonio Vivaldi.mp4,77
Les corons-Pierre Bachelet.mp4,130
Tanguera - Momento de tango (arr. for piano)-Mariano Mores.mp4,114
Lovesongs-Juse Ju.mp4,150
Hysteria-Muse.mp4,186
Shine On You Crazy Diamond (Pts. 1-5)-Pink Floyd.mp4,91
Dragonfly-Caligula's Horse.mp4,123
"Don't Think Twice, It's All Right-Bob Dylan.mp4",108
"Konzert für Flöte, Harfe und Orchester, c-Dur, Andantino-Wolfgang Amadeus Mozart.mp4",101
Loneliness (Winter)-Wintersun.mp4,100
Play Date-Melanie Martinez.mp4,124
Thunder Road-Bruce Springsteen.mp4,144
Suspirium-Thom Yorke.mp4,151
This Must Be The Place-Burning Down The House.mp4,108
Brazil-Declan McKenna.mp4,121
Spicy (feat. Ginger) - Edit-Boris Brejcha.mp4,125
Ascent-Teminite.mp4,110
Mammagamma - Instrumental-The Alan Parsons Project.mp4,104
Are You There? - Remastered-Anathema.mp4,98
Vėl Paliks Pasaulį Šiluma-Andrius Mamontovas.mp4,110
The Sound of Silence - Acoustic Version-Simon & Garfunkel.mp4,109
Safe-Golden Parazyth.mp4,90
Carnival of Rust-Poets of the Fall.mp4,91
Hand Of Man-Django Django.mp4,112
Tin Pan Valley-Robert Plant.mp4,88
Tu Nombre Sobre Mi Nombre - En Vivo-Luis Alberto Spinetta.mp4,92
Highway to Hell-ACDC.mp4,117
It Feels Like Something-David Fonseca.mp4,125
"Nameless, Faceless-Courtney Barnett.mp4",122
The Promised Land-Bruce Springsteen.mp4,114
Shine On Your Crazy Diamond-Pink Floyd Redux.mp4,139
Higher Love - 2006 Remaster-Depeche Mode.mp4,99
Human Sadness-The Voidz.mp4,126
Nocturno (Re bemol Mayor Op. 27 No. 2) - Remasterizado-Frédéric Chopin.mp4,118
Help-Hurts.mp4,105
Undo-Sanna Nielsen.mp4,122
Quadros de uma Exposição: IV. Bydlo-Modest Mussorgsky.mp4,108
No llores por mí argentina-Paloma San Basilio.mp4,81
"Лунная соната op, 27 №2 До диез минор Allegretto trio-Бетховен Людвиг ван.mp4",170
Box of Rain - 2013 Remaster-Grateful Dead.mp4,118
Beautiful Dreamer-Stephen Foster.mp4,84
